Razer Mamba Tournament Edition (type: mouse)
Rows:    1
Columns: 16

X, Y    Label
0, 0 = Left 1 (Top)
0, 1 = Left 2
0, 2 = Left 3
0, 3 = Left 4
0, 4 = Left 5
0, 5 = Left 6
0, 6 = Left 7 (Bottom)
0, 7 = Right 1 (Top)
0, 8 = Right 2
0, 9 = Right 3
0, 10 = Right 4
0, 11 = Right 5
0, 12 = Right 6
0, 13 = Right 7 (Bottom)
0, 14 = Logo
0, 15 = Scroll Wheel

